skill_id,skill_label,skill_type
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,knowledge
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,skill/competence
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,knowledge
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,skill/competence
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,knowledge
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,knowledge
http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,mathematical modelling,knowledge
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,skill/competence
http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,computer simulation,knowledge
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,skill/competence
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,knowledge
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,knowledge
http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,use markup languages,skill/competence
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),knowledge
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,knowledge
http://data.europa.eu/esco/skill/0d282d6e-8cb9-4339-8e7d-cfafed96b5ed,conduct literature research,skill/competence
http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,assess ICT knowledge,skill/competence
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,knowledge
http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,marketing analytics,knowledge
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,Visual Basic,knowledge
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,knowledge
http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,utilise computer-aided software engineering tools,skill/competence
http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,use spreadsheets software,skill/competence
http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),knowledge
http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,creatively use digital technologies,skill/competence
http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques,skill/competence
http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,MDX,knowledge
http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,information architecture,knowledge
http://data.europa.eu/esco/skill/1e77e42a-181f-4b48-8e74-201ce50ffc29,interpret current data,skill/competence
http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,interact professionally in research and professional environments,skill/competence
