occupation_id,occupation_label,n_skills,n_essential,n_optional
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,artificial intelligence engineer,9,5,4
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,computer vision engineer,7,5,2
http://data.europa.eu/esco/occupation/82616669-cc82-4455-9332-a2df209e9f3e,microelectronics smart manufacturing engineer,7,7,0
http://data.europa.eu/esco/occupation/e6dfc67e-331e-4468-a249-347a08decbdb,microelectronics materials engineer,6,6,0
http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,electric power generation engineer,5,0,5
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,5,3,2
http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,5,5,0
http://data.europa.eu/esco/occupation/ac37627c-a999-4779-997e-9795cc4f9a3d,power distribution engineer,5,0,5
http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,maintenance and repair engineer,5,0,5
http://data.europa.eu/esco/occupation/04849c5c-9236-4a75-aabb-11c6d03e459c,marine engineering technician,4,0,4
http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,statistician,4,2,2
http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,naval architect,4,0,4
http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,IoT developer,4,4,0
http://data.europa.eu/esco/occupation/0e99c929-364f-4b0a-8a64-2aab42420f00,renewable energy engineer,4,0,4
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,solar energy technician,4,0,4
http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,electromechanical engineer,4,0,4
http://data.europa.eu/esco/occupation/d2e63d7e-2605-4af1-bb7d-b1ed9ad08825,statistical assistant,4,1,3
http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,computer scientist,4,1,3
http://data.europa.eu/esco/occupation/51c7015c-dc81-4fcb-b15f-619a4656a9fe,electromechanical engineering technician,4,0,4
http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f,knowledge engineer,4,3,1
http://data.europa.eu/esco/occupation/42dbb769-4c91-47dc-bd16-ec8e70c4180f,solar energy engineer,4,0,4
http://data.europa.eu/esco/occupation/2ac509e8-2850-42c3-b11d-d24077a7921b,marine engineering drafter,4,0,4
http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,electronics engineering technician,4,0,4
http://data.europa.eu/esco/occupation/1ff61522-8947-4c95-b589-cb0e0539a62b,energy systems engineer,4,0,4
http://data.europa.eu/esco/occupation/1e2aaeff-5bf1-4649-9f09-9ebbd5cc3501,electromechanical drafter,4,0,4
http://data.europa.eu/esco/occupation/1d196f32-05ca-4ea5-a347-4fccbb3da863,marine electronics technician,4,0,4
http://data.europa.eu/esco/occupation/7ef064b1-aab8-4818-a468-8f17acbfd995,hydropower technician,4,0,4
http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205,chief data officer,3,3,0
